"","Timestamp","Class_Year","Major","Gender","Mood","Number_of_Classes","Class1_Participation","Class1_Type","Class1_Professor_Gender","Class2_Participation","Class2_Type","Class2_Professor_Gender","Class3_Participation","Class3_Type","Class3_Professor_Gender","Class4_Participation","Class4_Type","Class4_Professor_Gender","Class5_Participation","Class5_Type","Class5_Professor_Gender"
"166","2022/12/05 6:14:55 PM EST","Senior","STEM","Female",2,4,"Participate a lot","STEM","Female","Participate a lot","Art or Humanities","Female","Sometimes","STEM","Female","Participate a lot","STEM","Female","","",""
"167","2022/12/05 6:15:06 PM EST","Freshman","STEM","Female",3,4,"Participate a lot","STEM","Male","Sometimes","STEM","Male","Sometimes","STEM","Male","Participate a lot","Art or Humanities","Female","","",""
"168","2022/12/05 6:15:16 PM EST","Freshman","STEM","Female",4,4,"Sometimes","Art or Humanities","Male","Never participate","Art or Humanities","Female","Sometimes","STEM","Male","Participate a lot","Art or Humanities","Female","","",""
"169","2022/12/05 6:16:30 PM EST","Freshman","Art or Humanities","Female",3,4,"Participate a lot","Art or Humanities","Female","Participate a lot","Art or Humanities","Male","Participate a lot","STEM","Female","Participate a lot","Art or Humanities","Female","","",""
"170","2022/12/05 6:16:58 PM EST","Senior","STEM","Male",3,4,"Sometimes","STEM","Male","Never participate","STEM","Male","Sometimes","STEM","Male","Never participate","Art or Humanities","Male","","",""
"171","2022/12/05 6:17:22 PM EST","Senior","Art or Humanities","Female",3,3,"Sometimes","Art or Humanities","Female","Sometimes","Art or Humanities","Female","Sometimes","Art or Humanities","Female","","","","","",""
"172","2022/12/05 6:17:36 PM EST","Freshman","STEM","Female",2,5,"Sometimes","Art or Humanities","Female","Never participate","STEM","Male","Never participate","STEM","Female","Participate a lot","Art or Humanities","Male","Participate a lot","Art or Humanities","Female"
"173","2022/12/05 6:17:42 PM EST","Freshman","STEM","Female",3,4,"Sometimes","STEM","Male","Never participate","Art or Humanities","Male","Participate a lot","Art or Humanities","Female","Sometimes","Art or Humanities","Female","","",""
"174","2022/12/05 6:19:07 PM EST","Freshman","STEM","Male",4,4,"Participate a lot","STEM","Male","Never participate","STEM","Female","Sometimes","Art or Humanities","Female","Never participate","STEM","Female","","",""
"175","2022/12/05 6:25:13 PM EST","Sophomore","Art or Humanities","Female",3,4,"Sometimes","Art or Humanities","Female","Participate a lot","STEM","Female","Sometimes","Art or Humanities","Male","Never participate","Art or Humanities","Female","","",""
"176","2022/12/05 6:25:42 PM EST","Sophomore","STEM","Male",3,4,"Sometimes","Art or Humanities","Female","Sometimes","Art or Humanities","Female","Participate a lot","STEM","Male","Participate a lot","STEM","Female","","",""
"177","2022/12/05 6:29:18 PM EST","Freshman","STEM","Female",4,4,"Sometimes","Art or Humanities","Male","Never participate","STEM","Female","Never participate","STEM","Female","Sometimes","STEM","Male","","",""
"178","2022/12/05 6:29:30 PM EST","Freshman","Art or Humanities","Female",2,4,"Participate a lot","Art or Humanities","Female","Sometimes","Art or Humanities","Female","Participate a lot","Art or Humanities","Male","Sometimes","Art or Humanities","Female","","",""
"179","2022/12/05 6:33:22 PM EST","Sophomore","Art or Humanities","Male",4,4,"Participate a lot","STEM","Female","Participate a lot","Art or Humanities","Male","Participate a lot","Art or Humanities","Male","Participate a lot","Art or Humanities","Female","","",""
"180","2022/12/05 6:33:35 PM EST","Junior","STEM","Female",3,4,"Sometimes","STEM","Female","Participate a lot","STEM","Male","Sometimes","STEM","Female","Never participate","STEM","Male","","",""
"181","2022/12/05 6:33:53 PM EST","Junior","Art or Humanities","Female",3,4,"Never participate","STEM","Male","Sometimes","STEM","Female","Participate a lot","Art or Humanities","Male","Participate a lot","Art or Humanities","Female","","",""
"182","2022/12/05 6:33:55 PM EST","Junior","Art or Humanities","Female",3,4,"Sometimes","STEM","Male","Participate a lot","Art or Humanities","Male","Sometimes","Art or Humanities","Female","Sometimes","Art or Humanities","Female","","",""
"183","2022/12/05 6:34:00 PM EST","Sophomore","STEM","Female",2,4,"Never participate","Art or Humanities","Female","Never participate","STEM","Female","Never participate","STEM","Male","Participate a lot","Art or Humanities","Other","","",""
