mean,group
6285.8,n=20
5531.45,n=20
5187.85,n=20
3020.65,n=20
5354.25,n=20
5978.15,n=20
3696.65,n=20
8613.35,n=20
4423.3,n=20
4817.1,n=20
4185.5,n=20
5942.15,n=20
4502.9,n=20
4940.7,n=20
5825,n=20
3041.75,n=20
5701.45,n=20
5009.1,n=20
3943.45,n=20
7617.3,n=20
4443.65,n=20
9560.95,n=20
2938.75,n=20
5731.6,n=20
3009.15,n=20
7964,n=20
7553.3,n=20
5100.2,n=20
7191.15,n=20
5008.9,n=20
4147.4,n=20
6973.45,n=20
4112.55,n=20
3453.45,n=20
5391.4,n=20
5537.55,n=20
7545.65,n=20
10442.2,n=20
5340.8,n=20
3445.95,n=20
3725.55,n=20
6640.2,n=20
2357.1,n=20
6234.6,n=20
5642.25,n=20
3057.9,n=20
5650.45,n=20
4542.95,n=20
4330.8,n=20
4545.6,n=20
8471.05,n=20
4918.85,n=20
3820.8,n=20
5245.95,n=20
3466.5,n=20
3493.9,n=20
4772.15,n=20
4522.7,n=20
4980.8,n=20
7174.8,n=20
4194.7,n=20
6972.95,n=20
3401.65,n=20
8089.95,n=20
5344.1,n=20
5031.05,n=20
5858.8,n=20
7173.5,n=20
7022.85,n=20
4057.45,n=20
6372.75,n=20
6246.7,n=20
4635.35,n=20
4530.95,n=20
6710.2,n=20
10274.8,n=20
4613.75,n=20
6913.8,n=20
7444.45,n=20
5175.9,n=20
5476.65,n=20
4889.3,n=20
8311.35,n=20
2934.45,n=20
6367.7,n=20
4597.15,n=20
3448.9,n=20
8715.35,n=20
3903.9,n=20
5056.35,n=20
6232.9,n=20
6049.85,n=20
5686.95,n=20
9378.4,n=20
5239.2,n=20
4422.9,n=20
2482.1,n=20
5295.05,n=20
8216.15,n=20
4073.85,n=20
7330,n=20
9631.7,n=20
7128.8,n=20
2652.55,n=20
5975.85,n=20
6782.95,n=20
5919.05,n=20
3161.85,n=20
5158.9,n=20
3870.8,n=20
6063.6,n=20
6130.15,n=20
5745.65,n=20
4939.75,n=20
5253.75,n=20
4083.65,n=20
7230.65,n=20
3494.55,n=20
6057.55,n=20
3030.35,n=20
6308.4,n=20
9188.5,n=20
4105.3,n=20
5238.85,n=20
7553.75,n=20
5414.55,n=20
6539.35,n=20
5186.45,n=20
4228.95,n=20
4904.25,n=20
5587.95,n=20
8966.2,n=20
3658.25,n=20
4190.95,n=20
4486.1,n=20
3856.5,n=20
7633.15,n=20
7013.6,n=20
4698,n=20
4892.15,n=20
4072.15,n=20
3060.65,n=20
5293.25,n=20
2518,n=20
4471.7,n=20
6235.75,n=20
7223,n=20
2541.2,n=20
5270.35,n=20
4285.45,n=20
6780.3,n=20
7041.45,n=20
4991.5,n=20
3894.45,n=20
5024.35,n=20
5540.8,n=20
6412.35,n=20
5459.15,n=20
4211.2,n=20
4755.45,n=20
6342.5,n=20
4996.2,n=20
4237.15,n=20
6499.4,n=20
6012.85,n=20
4122.6,n=20
7462.55,n=20
4811.95,n=20
5394,n=20
8932,n=20
5158.3,n=20
5157.35,n=20
6041.25,n=20
5339.95,n=20
8185.95,n=20
5768.05,n=20
4367.2,n=20
5675.7,n=20
7936.6,n=20
8226,n=20
6137.35,n=20
7396.4,n=20
4298.8,n=20
3127.15,n=20
8847.9,n=20
3296.15,n=20
3013.7,n=20
5252.05,n=20
4126.1,n=20
6315.5,n=20
8115,n=20
4823.95,n=20
3428,n=20
7153.7,n=20
5410.15,n=20
6846.85,n=20
5862,n=20
8991.3,n=20
6616.7,n=20
3967.2,n=20
4440.55,n=20
7678.4,n=20
8881.15,n=20
2342.95,n=20
4761.6,n=20
6152.7,n=20
6197.75,n=20
5657.15,n=20
5563.85,n=20
6625.25,n=20
5881.7,n=20
3185.45,n=20
5041.2,n=20
10369.85,n=20
3030.35,n=20
7008.6,n=20
3436,n=20
4525.15,n=20
6132.55,n=20
7446.5,n=20
7790.5,n=20
7729.45,n=20
9130.05,n=20
5249.1,n=20
3494.05,n=20
4524.5,n=20
5593,n=20
5102.8,n=20
4642.65,n=20
6657.6,n=20
5730.95,n=20
6590.2,n=20
6050.25,n=20
6328.4,n=20
7549,n=20
4735.8,n=20
7067.2,n=20
5918.65,n=20
5226.25,n=20
2842.35,n=20
4286.8,n=20
4352.35,n=20
4221.95,n=20
5686.8,n=20
4635.7,n=20
5176.7,n=20
3699.1,n=20
6310.3,n=20
6580.45,n=20
8562.7,n=20
5609.55,n=20
10032.35,n=20
7776.3,n=20
4794.7,n=20
6758.35,n=20
7023.55,n=20
6480,n=20
4733.05,n=20
3249.8,n=20
5155.8,n=20
8532.9,n=20
6250.85,n=20
7006.35,n=20
6543.65,n=20
4800,n=20
6338.6,n=20
6548.5,n=20
5614.85,n=20
7892.55,n=20
3102.35,n=20
7394.6,n=20
8525,n=20
5447.4,n=20
