county;population;pct_male;pct_female;median_age;over65_pct;onerace_white;onerace_black;onerace_native;onerace_asian;onerace_pacificislands;onerace_other;hispanic_pct;non_hisp_white;non_hisp_black;`voting_pop;;;
Bay County, Michigan;104747;49.6;50.4;43.1;19.2;94.6;2.3;0.2;0.3;0.0;0.6;5.2;90.1;2.2;82688;;;
Beaufort County, South Carolina;183149;48.8;51.2;44.9;25.9;75.4;18.3;0.4;1.3;0.1;2.2;11.1;67.4;17.9;138351;;;
Beaver County, Pennsylvania;167429;48.7;51.3;44.9;20.5;90.6;5.5;0.1;0.3;0.1;0.5;1.5;89.6;5.5;133884;;;
Bedford County, Virginia;77960;49.8;50.2;45.8;20.7;88.6;7.3;0.0;1.2;0.1;1.2;2.1;87.7;7.3;60909;;;
Bell County, Texas;340411;49.8;50.2;31.0;10.4;63.9;24.3;0.6;2.8;0.7;2.1;24.3;46.5;21.2;233421;;;
Belmont County, Ohio;68673;51.3;48.7;44.5;19.8;N;N;N;N;N;N;0.9;N;N;55304;;;
Benton County, Arkansas;258291;49.6;50.4;35.4;13.0;88.5;1.5;1.0;3.6;0.5;1.4;16.4;73.9;1.5;172032;;;
Benton County, Oregon;89385;50.0;50.0;32.5;15.2;86.2;1.1;0.5;6.6;0.3;1.3;7.3;80.8;1.1;69216;;;
Benton County, Washington;193686;49.6;50.4;35.6;14.2;83.2;1.9;0.6;2.4;0.0;8.6;21.4;71.0;1.8;129799;;;
Bergen County, New Jersey;939151;48.5;51.5;41.4;16.5;72.3;6.0;0.2;16.3;0.1;2.2;19.4;57.0;5.2;639069;;;
Berkeley County, South Carolina;210898;49.6;50.4;36.4;13.0;67.2;24.4;0.3;2.7;0.0;2.6;6.3;64.0;24.1;154285;;;
Berkeley County, West Virginia;113525;48.8;51.2;38.2;14.1;86.9;9.2;0.2;0.8;0.0;1.4;4.1;84.3;8.9;83857;;;
Berks County, Pennsylvania;414812;49.3;50.7;40.1;16.5;82.8;4.5;1.1;1.3;0.0;3.6;20.0;72.6;3.8;307577;;;
Berkshire County, Massachusetts;126903;47.9;52.1;46.7;21.9;91.9;2.7;0.2;1.6;0.1;0.9;4.3;89.0;2.6;102986;;;
Bernalillo County, New Mexico;676953;49.0;51.0;37.4;15.2;70.8;2.8;5.1;2.7;0.1;15.0;49.7;39.0;2.4;489897;;;
Berrien County, Michigan;154010;49.1;50.9;41.6;18.5;78.2;14.3;0.3;1.9;0.0;1.6;5.3;75.2;14.2;114773;;;
Bexar County, Texas;1928680;49.3;50.7;33.5;11.8;78.9;7.9;0.7;2.9;0.1;6.7;59.9;28.1;7.3;1282976;;;
Bibb County, Georgia;152760;46.9;53.1;36.1;14.7;40.1;54.1;0.1;2.0;0.0;1.0;3.2;38.8;53.8;112256;;;
Black Hawk County, Iowa;132904;49.9;50.1;35.2;15.6;85.3;9.0;0.6;2.5;0.5;0.6;4.3;82.0;9.0;99668;;;
Blair County, Pennsylvania;124650;49.0;51.0;43.8;20.2;95.6;2.0;0.0;0.7;0.2;0.3;1.2;94.6;1.9;98678;;;
Blount County, Tennessee;128670;48.4;51.6;43.7;19.5;93.6;3.0;0.1;0.7;0.1;0.2;3.2;91.2;2.6;99945;;;
Blue Earth County, Minnesota;66441;50.0;50.0;30.5;13.3;91.4;3.4;0.5;2.0;0.0;0.2;3.4;88.6;3.4;51463;;;
Bonneville County, Idaho;112232;50.3;49.7;33.0;13.4;88.4;0.0;0.8;1.4;0.0;7.0;12.8;83.2;0.0;73604;;;
Boone County, Kentucky;128536;49.5;50.5;37.0;12.1;91.0;2.3;0.3;2.7;0.0;1.1;4.2;88.1;2.3;91752;;;
Boone County, Missouri;176594;48.9;51.1;30.6;11.6;80.8;9.2;0.5;5.1;0.0;1.6;3.3;79.4;9.2;134202;;;
Bossier Parish, Louisiana;126057;50.3;49.7;34.7;13.3;72.9;22.6;0.2;1.5;0.2;0.6;6.6;67.2;22.6;92628;;;
Boulder County, Colorado;322226;50.2;49.8;36.4;13.3;89.6;1.1;0.3;4.8;0.1;1.8;13.8;78.0;1.0;239007;;;
Bowie County, Texas;93860;50.5;49.5;37.0;16.3;70.2;24.4;0.3;1.3;0.3;0.7;7.6;64.0;24.2;68649;;;
Bradley County, Tennessee;104490;48.5;51.5;39.2;16.2;91.6;5.5;0.6;0.2;0.0;0.7;6.1;86.3;5.5;78820;;;
Brazoria County, Texas;354195;50.4;49.6;36.0;11.2;74.8;13.0;1.0;6.5;0.0;2.7;30.0;48.5;12.8;239133;;;
Brazos County, Texas;220417;50.8;49.2;26.1;9.0;75.9;10.3;0.5;6.4;0.0;3.2;25.1;56.3;10.2;156276;;;
Brevard County, Florida;579130;48.7;51.3;47.3;23.2;82.6;9.9;0.2;2.4;0.0;1.9;9.9;75.0;9.7;453314;;;
Bristol County, Massachusetts;558324;48.6;51.4;40.8;16.4;84.0;4.2;0.0;2.4;0.1;6.9;7.6;81.9;3.9;418363;;;
Bronx County, New York;1455720;47.2;52.8;33.6;11.7;21.5;34.0;0.6;3.6;0.0;36.3;56.0;9.0;29.5;838522;;;
Broome County, New York;195334;49.1;50.9;39.6;18.2;85.3;6.5;0.0;3.6;0.0;1.0;4.1;83.6;5.4;151581;;;
Broomfield County, Colorado;66529;49.1;50.9;38.4;12.9;86.4;1.1;0.5;5.9;0.0;2.7;12.2;77.6;0.9;48570;;;
Broward County, Florida;1909632;48.7;51.3;40.3;16.1;60.9;28.6;0.3;3.6;0.1;3.3;28.7;37.4;27.6;1269049;;;
Brown County, Wisconsin;260401;50.0;50.0;37.1;13.7;85.0;2.2;2.7;3.1;0.0;3.3;8.5;81.3;2.2;191325;;;
Brunswick County, North Carolina;126953;48.2;51.8;53.4;30.0;83.4;10.3;0.8;0.6;0.0;2.2;4.7;81.6;10.1;105504;;;
Buchanan County, Missouri;88938;51.2;48.8;37.9;15.4;87.6;5.1;0.4;1.2;0.0;1.8;6.4;83.7;5.0;67249;;;
Bucks County, Pennsylvania;626399;49.1;50.9;43.7;17.6;88.0;3.5;0.1;4.9;0.0;1.1;5.2;84.3;3.4;473185;;;
Bullitt County, Kentucky;79151;49.5;50.5;39.9;14.5;N;N;N;N;N;N;1.9;N;N;61154;;;
Bulloch County, Georgia;74722;50.4;49.6;28.4;11.0;64.9;29.2;0.0;1.1;0.0;2.1;3.7;63.8;29.0;58722;;;
Buncombe County, North Carolina;256088;48.2;51.8;42.6;19.0;88.6;6.0;0.4;1.4;0.2;1.2;6.4;83.8;6.0;200741;;;
Burke County, North Carolina;88851;49.6;50.4;45.0;19.9;84.2;6.1;0.6;3.9;0.1;3.9;6.2;82.1;6.1;69868;;;
Burleigh County, North Dakota;94487;49.4;50.6;36.5;14.9;90.9;2.2;4.4;0.8;0.1;0.1;2.3;89.3;2.0;71695;;;
Burlington County, New Jersey;449284;49.3;50.7;41.5;16.3;71.9;16.6;0.1;5.3;0.0;2.3;7.9;67.7;16.0;339300;;;
Butler County, Kansas;67025;50.4;49.6;38.4;14.4;93.4;2.5;1.1;0.4;0.1;0.1;4.7;89.2;2.4;49422;;;
Butler County, Ohio;377537;49.2;50.8;36.5;14.0;85.4;8.1;0.1;2.7;0.0;0.9;4.6;81.8;8.0;277959;;;
Butler County, Pennsylvania;186847;49.7;50.3;43.3;18.0;95.8;1.2;0.1;1.3;0.0;0.4;1.4;94.8;1.2;146228;;;
Butte County, California;226864;49.2;50.8;38.1;18.1;82.8;1.6;1.1;4.7;0.4;4.2;16.0;72.4;1.6;172932;;;
Cabarrus County, North Carolina;201590;48.5;51.5;37.7;12.9;70.1;17.1;0.3;3.1;0.2;6.2;10.1;67.0;16.7;139874;;;
Cabell County, West Virginia;95987;48.9;51.1;38.0;17.4;91.1;5.2;0.0;1.4;0.0;0.2;1.4;89.8;5.2;76072;;;
Cache County, Utah;122753;49.5;50.5;25.3;9.0;89.7;0.8;0.3;2.6;0.4;4.3;10.5;83.1;0.8;79780;;;
Caddo Parish, Louisiana;248851;47.4;52.6;36.9;15.8;45.8;49.8;0.2;1.3;0.0;1.4;2.8;44.8;49.4;184563;;;
Calcasieu Parish, Louisiana;200601;48.9;51.1;36.2;13.9;69.9;25.2;0.4;1.1;0.0;1.3;3.3;68.0;25.2;148189;;;
Caldwell County, North Carolina;81449;49.3;50.7;43.3;18.7;88.5;4.4;0.7;0.4;0.0;4.4;5.1;87.7;4.4;63344;;;
Calhoun County, Alabama;114611;48.4;51.6;39.1;16.5;73.6;21.1;0.7;0.9;0.0;1.9;3.6;72.6;21.0;87694;;;
Calhoun County, Michigan;134386;48.3;51.7;39.6;17.3;82.0;10.5;0.4;2.0;0.0;0.6;5.0;77.9;10.4;100901;;;
Calvert County, Maryland;91251;49.5;50.5;40.6;14.3;80.7;13.0;0.0;1.9;0.0;1.2;3.7;78.4;12.9;69117;;;
Cambria County, Pennsylvania;134732;49.1;50.9;45.1;21.5;93.6;2.4;0.0;0.4;0.1;0.4;1.6;92.8;2.3;108117;;;
Camden County, New Jersey;510150;48.4;51.6;38.5;14.9;63.6;18.9;0.2;5.8;0.0;8.7;16.4;57.2;18.1;370982;;;
Cameron County, Texas;422135;48.5;51.5;31.5;13.1;95.0;0.5;0.1;0.8;0.0;2.9;89.4;9.3;0.4;233656;;;
Campbell County, Kentucky;92211;48.4;51.6;37.7;14.4;93.9;3.9;0.1;0.6;0.0;0.3;1.9;92.3;3.9;72027;;;
Canadian County, Oklahoma;136532;49.1;50.9;35.8;12.7;81.2;2.2;4.2;3.1;0.0;4.3;8.4;76.9;2.2;98491;;;
Canyon County, Idaho;211698;49.2;50.8;32.7;13.3;81.2;0.0;1.3;1.4;0.4;13.0;25.0;70.7;0.0;140081;;;
Cape Girardeau County, Missouri;78913;48.3;51.7;36.0;16.0;87.5;7.0;0.5;1.7;0.0;0.4;2.3;86.2;7.0;60601;;;
Cape May County, New Jersey;94430;49.3;50.7;49.0;25.7;92.0;3.5;0.1;0.9;0.1;0.7;7.6;85.2;3.5;76754;;;
Carbon County, Pennsylvania;63594;50.5;49.5;46.2;20.1;N;N;N;N;N;N;4.4;N;N;50641;;;
Carroll County, Georgia;116261;49.8;50.2;34.1;13.0;75.0;18.1;0.1;1.0;0.3;3.4;6.9;70.4;18.1;85647;;;
Carroll County, Maryland;167656;49.6;50.4;43.2;16.3;91.8;3.4;0.2;1.8;0.1;0.3;3.4;89.4;3.4;127914;;;
Carteret County, North Carolina;68890;48.8;51.2;48.0;23.7;89.8;5.5;0.4;0.8;0.0;0.5;4.4;86.2;5.5;55299;;;
Carver County, Minnesota;100262;49.9;50.1;38.0;10.9;91.7;2.3;0.3;3.2;0.0;1.1;4.1;89.4;2.1;71883;;;
Cascade County, Montana;81755;50.8;49.2;38.6;18.2;88.8;1.2;4.5;0.9;0.2;0.4;4.3;85.6;1.0;63102;;;
Cass County, Missouri;102845;48.4;51.6;40.0;16.2;91.3;2.9;0.1;0.8;0.0;0.9;4.3;88.2;2.9;76449;;;
Cass County, North Dakota;175249;51.9;48.1;32.4;11.1;87.7;5.3;0.8;2.6;0.0;0.5;2.7;86.0;5.2;131261;;;
