county,population_2008,popC_2008,young,middle,older,age_index,male,female,income,no_hs_diploma,hs_diploma,associates_degree,bachelors_degree,above_bachelors_degree,education_index,white,labor_force,employed,unemployed,unemployment_rate,vd_2006,vd_2008,vd_2010,vd_2012,vr_2006,vr_2008,vr_2010,vr_2012,registered_d_2016,registered_r_2016,registered_i_2016,casey_index,polls_2012,polls_2016,who_won_2008,votes_d_received,votes_r_received,who_won_2012,votes_d_received_2012,votes_r_received_2012,fips,X
Franklin,0.001,"11,606.00",0.217,0.343,0.256,1.671,0.583,0.417,"37,815",0.217,0.57,0.053,0.107,0.053,2.209,0.826,"4,817","4,582",235,4.9,64%,N/A,16.10%,48.80%,34%,N/A,54.60%,48.75%,"4,132","2,150",132,0.541949,R,0,R,0.35,0.63,R,0.336,0.65,12037,NA
Gadsden,0.003,"46,850.00",0.191,0.345,0.217,1.532,0.5,0.5,"36,146",0.23,0.543,0.064,0.099,0.064,2.224,0.359,"21,106","19,783","1,323",6.3,81%,N/A,47.10%,74.10%,18%,N/A,26.30%,24.47%,"22,324","4,402",309,0.707493,R,0,D,0.69,0.3,D,0.7,0.294,12039,NA
Gilchrist,0.001,"16,695.00",0.192,0.317,0.251,1.579,0.524,0.476,"40,984",0.193,0.612,0.086,0.079,0.03,2.141,0.909,"7,828","7,373",455,5.8,54%,N/A,11.90%,36.10%,44%,N/A,65.10%,60.83%,"3,570","5,972",305,0.348991,R,-3,R,0.26,0.72,R,0.237,0.745,12041,NA
Glades,0.001,"12,649.00",0.192,0.306,0.299,1.701,0.559,0.441,"33,609",0.24,0.591,0.066,0.063,0.04,2.072,0.71,"4,675","4,345",330,7.1,62%,N/A,12.20%,47.20%,37%,N/A,57.10%,49.22%,"3,085","2,290",162,0.455697,R,-7,R,0.39,0.59,R,0.4,0.585,12043,NA
Gulf,0.001,"15,996.00",0.211,0.378,0.229,1.654,0.586,0.414,"40,964",0.203,0.579,0.071,0.11,0.037,2.199,0.781,"6,368","5,957",411,6.5,60%,N/A,14.30%,44.40%,39%,N/A,67.90%,52.31%,"4,362","4,527",178,0.415238,R,6,R,0.3,0.69,R,0.283,0.701,12045,NA
Hamilton,0.001,"14,776.00",0.225,0.335,0.219,1.552,0.601,0.399,"35,629",0.238,0.591,0.063,0.079,0.029,2.07,0.598,"4,791","4,441",350,7.3,62%,N/A,27.40%,48.70%,36%,N/A,49.10%,48.55%,"4,790","2,219",162,0.555782,R,2,R,0.42,0.57,R,0.411,0.579,12047,NA
Hardee,0.001,"27,620.00",0.212,0.296,0.187,1.365,0.548,0.452,"36,094",0.347,0.516,0.064,0.073,0.027,1.998,0.722,"11,758","10,952",806,6.9,51%,N/A,14.60%,44.10%,48%,N/A,54.20%,51.32%,"4,641","4,957",235,0.383386,R,8,R,0.35,0.64,R,0.34,0.648,12049,NA
Hendry,0.002,"39,169.00",0.225,0.317,0.152,1.315,0.538,0.462,"35,736",0.357,0.5,0.046,0.065,0.033,1.92,0.599,"17,565","15,619","1,946",11.1,57%,N/A,20.60%,50.20%,41%,N/A,56%,46.47%,"8,083","6,013",292,0.459385,R,12,R,0.46,0.53,R,0.465,0.524,12051,NA
Hernando,0.009,"171,316.00",0.135,0.314,0.333,1.762,0.478,0.522,"41,098",0.143,0.616,0.085,0.108,0.049,2.307,0.895,"63,163","57,578","5,585",8.8,61%,N/A,13.50%,53.40%,37%,N/A,46.30%,42.69%,"42,784","52,360","4,732",0.427776,R,-13,R,0.48,0.51,R,0.451,0.535,12053,NA
Highlands,0.005,"99,686.00",0.132,0.272,0.395,1.861,0.488,0.512,"35,350",0.196,0.579,0.073,0.099,0.053,2.234,0.81,"40,939","37,916","3,023",7.4,55%,N/A,14.40%,46.60%,43%,N/A,54.50%,49.68%,"19,950","27,615","1,724",0.375099,R,-2,R,0.4,0.58,R,0.38,0.609,12055,NA
Hillsborough,0.064,"1,206,084.00",0.218,0.346,0.17,1.42,0.488,0.512,"49,450",0.136,0.484,0.092,0.19,0.1,2.64,0.713,"599,256","560,054","39,202",6.5,61%,N/A,19.70%,58.80%,37%,N/A,45.10%,38.71%,"324,345","262,198","23,050",0.492292,R,11,D,0.53,0.46,D,0.527,0.46,12057,NA
Holmes,0.001,"20,057.00",0.187,0.341,0.243,1.598,0.534,0.466,"34,928",0.241,0.587,0.062,0.069,0.041,2.082,0.905,"8,999","8,531",468,5.2,50%,N/A,9.40%,27.50%,49%,N/A,74.10%,68.66%,"4,078","5,790",112,0.355577,R,5,R,0.17,0.82,R,0.152,0.835,12059,NA
Indian River,0.008,"137,420.00",0.138,0.309,0.348,1.8,0.483,0.517,"45,274",0.133,0.514,0.084,0.167,0.102,2.591,0.843,"62,940","57,748","5,192",8.2,55%,N/A,12.60%,43.30%,44%,N/A,60.90%,53.55%,"28,597","48,958","3,298",0.384176,R,6,R,0.42,0.57,R,0.384,0.607,12061,NA
Jackson,0.003,"50,221.00",0.2,0.366,0.213,1.571,0.549,0.451,"38,917",0.213,0.58,0.071,0.092,0.044,2.174,0.691,"22,155","20,973","1,182",5.3,65%,N/A,22.70%,46.30%,34%,N/A,60.60%,51.37%,"15,810","9,776",335,0.504644,R,4,R,0.36,0.64,R,0.35,0.64,12063,NA
Jefferson,0.001,"14,650.00",0.162,0.381,0.244,1.656,0.519,0.481,"41,163",0.192,0.602,0.054,0.097,0.056,2.226,0.604,"6,844","6,491",353,5.2,74%,N/A,30.10%,59.50%,25%,N/A,39.60%,38.49%,"5,748","2,681",173,0.582073,R,-2,D,0.51,0.48,D,0.504,0.487,12065,NA
