county,population_2008,popC_2008,young,middle,older,age_index,male,female,income,no_hs_diploma,hs_diploma,associates_degree,bachelors_degree,above_bachelors_degree,education_index,white,labor_force,employed,unemployed,unemployment_rate,vd_2006,vd_2008,vd_2010,vd_2012,vr_2006,vr_2008,vr_2010,vr_2012,registered_d_2016,registered_r_2016,registered_i_2016,casey_index,likely_winner,X,who_won_2008,votes_d_received,votes_r_received,who_won_2012,votes_d_received_2012,votes_r_received_2012,fips
Lackawanna,0.017,NA,0.184,0.341,0.239,1.583,0.48,0.52,45483,0.52,0.349,0.071,0.06,NA,1.671,0.92,"108,526","102,231","6,295",5.8,69.46,N/A,60,66.71%,30.54,N/A,40,31.71%,"91,110","42,572","10,606",0.642124893,D,NA,D,0.622,0.364,D,0.629,0.357,42069
Lancaster,0.04,NA,0.185,0.333,0.204,1.463,0.489,0.511,56172,0.561,0.298,0.058,0.082,NA,1.659,0.886,"274,555","262,878","11,677",4.3,41.72,N/A,32,40.20%,58.28,N/A,68,57.83%,"108,201","174,360","28,423",0.400417758,D,NA,R,0.434,0.552,R,0.396,0.585,42071
Lawrence,0.007,NA,0.159,0.35,0.252,1.615,0.482,0.518,44079,0.498,0.366,0.074,0.062,NA,1.7,0.938,"43,950","41,240","2,710",6.2,57.97,N/A,44,48.18%,42.03,N/A,56,50.03%,"27,530","23,363","3,336",0.501903515,D,NA,R,0.465,0.516,R,0.447,0.537,42073
Lebanon,0.01,NA,0.172,0.342,0.231,1.549,0.488,0.512,54259,0.529,0.362,0.048,0.06,NA,1.637,0.91,"73,369","70,324","3,045",4.2,44.91,N/A,30,37.71%,55.09,N/A,70,60.30%,"27,199","47,195","7,830",0.370479642,D,NA,R,0.398,0.586,R,0.35,0.632,42075
Lehigh,0.027,NA,0.183,0.352,0.201,1.49,0.485,0.515,54645,0.505,0.334,0.073,0.088,NA,1.744,0.791,"178,950","168,895","10,055",5.6,57.71,N/A,47,55.09%,42.29,N/A,53,42.99%,"114,944","80,046","30,307",0.53211918,D,NA,D,0.571,0.416,D,0.532,0.454,42077
Luzerne,0.025,NA,0.175,0.35,0.245,1.61,0.489,0.511,43486,0.531,0.358,0.056,0.055,NA,1.635,0.907,"161,744","151,642","10,102",6.2,60.58,N/A,51,54.51%,39.42,N/A,49,43.26%,"107,591","73,935","15,965",0.551518873,D,NA,D,0.533,0.45,D,0.515,0.467,42079
Lycoming,0.009,NA,0.189,0.349,0.223,1.556,0.49,0.51,44557,0.449,0.404,0.073,0.074,NA,1.772,0.926,"60,703","57,136","3,567",5.9,39.44,N/A,30,35.05%,60.56,N/A,70,62.90%,"22,448","38,142","5,418",0.387075192,D,NA,R,0.372,0.612,R,0.326,0.657,42081
McKean,0.003,NA,0.17,0.358,0.231,1.579,0.51,0.49,41351,0.45,0.411,0.073,0.066,NA,1.755,0.959,"21,938","20,594","1,344",6.1,45.77,N/A,29,35.87%,54.23,N/A,71,62.02%,"7,314","14,149","1,831",0.384063275,D,NA,R,0.404,0.576,R,0.35,0.63,42083
Mercer,0.009,NA,0.162,0.342,0.249,1.593,0.491,0.509,43589,0.435,0.411,0.076,0.078,NA,1.797,0.916,"55,808","52,070","3,738",6.7,57.08,N/A,45,48.77%,42.92,N/A,55,49.03%,"33,900","32,408","7,355",0.484070765,D,NA,R,0.488,0.49,R,0.475,0.508,42085
Mifflin,0.004,NA,0.155,0.337,0.256,1.597,0.491,0.509,38671,0.534,0.371,0.045,0.05,NA,1.611,0.975,"22,790","21,297","1,493",6.6,42.51,N/A,24,30.29%,57.49,N/A,76,68.07%,"7,540","15,217","1,866",0.361824776,D,NA,R,0.324,0.659,R,0.26,0.727,42087
Monroe,0.013,NA,0.164,0.375,0.19,1.484,0.494,0.506,57773,0.444,0.385,0.077,0.093,NA,1.817,0.772,"84,017","78,991","5,026",6,56.08,N/A,49,56.22%,43.92,N/A,51,42.29%,"51,867","36,305","12,400",0.541743396,D,NA,D,0.575,0.412,D,0.559,0.426,42089
Montgomery,0.062,NA,0.175,0.364,0.209,1.53,0.485,0.515,78984,0.368,0.348,0.111,0.173,NA,2.089,0.811,"438,010","419,127","18,883",4.3,61.91,N/A,54,58.45%,38.09,N/A,46,40.63%,"267,225","212,687","42,630",0.564312728,D,NA,D,0.599,0.392,D,0.565,0.422,42091
Montour,0.001,NA,0.166,0.351,0.247,1.609,0.474,0.526,49845,0.529,0.342,0.059,0.07,NA,1.67,0.953,"9,438","8,988",450,4.8,46.51,N/A,36,40.26%,53.49,N/A,64,57.30%,"4,731","6,259","1,429",0.450276993,D,NA,R,0.417,0.566,R,0.388,0.592,42093
Northampton,0.024,NA,0.175,0.36,0.215,1.54,0.489,0.511,59551,0.545,0.318,0.059,0.078,NA,1.67,0.863,"153,803","145,401","8,402",5.5,58.29,N/A,48,53.98%,41.71,N/A,52,44.61%,"99,093","73,353","23,628",0.548265019,D,NA,D,0.554,0.431,D,0.516,0.469,42095
Northumberland,0.007,NA,0.172,0.348,0.256,1.636,0.503,0.497,40963,0.544,0.371,0.041,0.044,NA,1.585,0.954,"48,029","44,896","3,133",6.5,49.69,N/A,38,39.51%,50.31,N/A,62,58.26%,"21,678","27,481","3,472",0.437898889,D,NA,R,0.42,0.557,R,0.392,0.585,42097
Perry,0.004,NA,0.163,0.379,0.201,1.524,0.501,0.499,56205,0.548,0.369,0.043,0.04,NA,1.575,0.974,"25,003","23,700","1,303",5.2,39.58,N/A,25,32.38%,60.42,N/A,75,64.95%,"7,186","18,038","2,483",0.351736083,D,NA,R,0.322,0.658,R,0.296,0.683,42099
